id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,ingested_at
209105766,California,CA,6,Santa Clara County,85,,,,18864.0,-121.94991,37.37977911163557,building,2026-06-11 16:34
209117217,California,CA,6,Santa Clara County,85,,SJC11,Evocative Santa Clara SJC11,51418.0,-121.961946,37.389539602058925,building,2026-06-11 16:34
209786637,Illinois,IL,17,Cook County,31,Quality Technology Services,,QTS Chicago,267112.0,-87.66900815,41.84218652884067,building,2026-06-11 16:34
210222970,Illinois,IL,17,Cook County,31,Iron Mountain,,Iron Mountain Data & Record Storage,106033.0,-87.64550983,41.84879669155961,building,2026-06-11 16:34
210917861,Arizona,AZ,4,Maricopa County,13,,,Data Storage Centers,38109.0,-112.0343031,33.42169287468072,building,2026-06-11 16:34
211832626,Massachusetts,MA,25,Essex County,9,TierPoint,,,51354.0,-71.20859932,42.68570898649228,building,2026-06-11 16:34
214321737,Massachusetts,MA,25,Middlesex County,17,Markley Group,,Markley Data Center,123665.0,-71.30442371,42.63026199,building,2026-06-11 16:34
215630401,North Carolina,NC,37,Mecklenburg County,119,Flexential,,Flexential Charlotte - South,33741.0,-80.93687158,35.13543064967395,building,2026-06-11 16:34
220518160,Arizona,AZ,4,Maricopa County,13,Digital Realty,,Digital Realty Data Center,67568.0,-111.8992268,33.344648208315185,building,2026-06-11 16:34
221201212,Washington,WA,53,King County,33,Comcast,,,8025.0,-122.3173172,47.69332367380439,building,2026-06-11 16:34
221897579,Virginia,VA,51,Fairfax County,59,,,Equinix DC97,43991.0,-77.37742308,38.96157142283795,building,2026-06-11 16:34
222672860,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD55,Amazon IAD-55,228140.0,-77.64876376,38.81506150876172,building,2026-06-11 16:34
223783259,Washington,WA,53,King County,33,,,CTI Biopharma,20600.0,-122.356693,47.61778781,building,2026-06-11 16:34
223928497,Washington,WA,53,King County,33,Digital Realty,SEA10,Westin Building,13117.0,-122.3388642,47.61435537680634,building,2026-06-11 16:34
224100721,Virginia,VA,51,Prince William County,153,,,COPT Data Center,127955.0,-77.53184529,38.74728120625688,building,2026-06-11 16:34
224139416,California,CA,6,Santa Clara County,85,,,Dell 350 Holger Way,45282.0,-121.9430846,37.418407037850685,building,2026-06-11 16:34
224174031,California,CA,6,Santa Clara County,85,SV Colo,,SV Colo,57709.0,-121.9587993,37.36431021578032,building,2026-06-11 16:34
224998784,California,CA,6,Santa Clara County,85,Microsoft,,Microsoft,166655.0,-121.9464364,37.36206621,building,2026-06-11 16:34
225745958,Virginia,VA,51,Fauquier County,61,,,OVH US East Vint Hill,85783.0,-77.67445377,38.747444697578814,building,2026-06-11 16:34
231047065,Wyoming,WY,56,Laramie County,21,University Corporation for Atmospheric Research,,NCAR-Wyoming Supercomputing Center,101129.0,-104.8974868,41.12879048730292,building,2026-06-11 16:34
231664575,Washington,WA,53,King County,33,H5 Data Centers,,The Seattle Times,48589.0,-122.3364616,47.61898482839781,building,2026-06-11 16:34
231769626,Oregon,OR,41,Wasco County,65,Google,,Google Data Center The Dalles Oregon,1487396.0,-121.2013022,45.63204799165709,campus,2026-06-11 16:34
233888384,North Carolina,NC,37,Wake County,183,,,Segra Data Center,46141.0,-78.66236321,35.72499209,building,2026-06-11 16:34
234722029,Virginia,VA,51,Loudoun County,107,Equinix,DC2,Equinix Ashburn DC2,175215.0,-77.45900625,39.0164707082229,building,2026-06-11 16:34
